Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StandardHours,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager
41,Yes,Travel_Rarely,1102,Sales,1,College,Life Sciences,1,Female,Sales Executive,Very High,Single,5993,8,Yes,11,Excellent,80,8,6,4,5
49,No,Travel_Frequently,279,Research & Development,8,Below College,Life Sciences,2,Male,Research Scientist,Medium,Married,5130,1,No,23,Outstanding,80,10,10,7,7
37,Yes,Travel_Rarely,1373,Research & Development,2,College,Other,4,Male,Laboratory Technician,High,Single,2090,6,Yes,15,Excellent,80,7,0,0,0
33,No,Travel_Frequently,1392,Research & Development,3,Master,Life Sciences,5,Female,Research Scientist,High,Married,2909,1,Yes,11,Excellent,80,8,8,7,0
27,No,Travel_Rarely,591,Research & Development,2,Below College,Medical,7,Male,Laboratory Technician,Medium,Married,3468,9,No,12,Excellent,80,6,2,2,2
32,No,Travel_Frequently,1005,Research & Development,2,College,Life Sciences,8,Male,Laboratory Technician,Very High,Single,3068,0,No,13,Excellent,80,8,7,7,6
59,No,Travel_Rarely,1324,Research & Development,3,Bachelor,Medical,10,Female,Laboratory Technician,Low,Married,2670,4,Yes,20,Outstanding,80,12,1,0,0
30,No,Travel_Rarely,1358,Research & Development,24,Below College,Life Sciences,11,Male,Laboratory Technician,High,Divorced,2693,1,No,22,Outstanding,80,1,1,0,0
38,No,Travel_Frequently,216,Research & Development,23,Bachelor,Life Sciences,12,Male,Manufacturing Director,High,Single,9526,0,No,21,Outstanding,80,10,9,7,8
36,No,Travel_Rarely,1299,Research & Development,27,Bachelor,Medical,13,Male,Healthcare Representative,High,Married,5237,6,No,13,Excellent,80,17,7,7,7
35,No,Travel_Rarely,809,Research & Development,16,Bachelor,Medical,14,Male,Laboratory Technician,Medium,Married,2426,0,No,13,Excellent,80,6,5,4,3
29,No,Travel_Rarely,153,Research & Development,15,College,Life Sciences,15,Female,Laboratory Technician,High,Single,4193,0,Yes,12,Excellent,80,10,9,5,8
